,SparkID,Полное наименование,Краткое наименование,Наименование на англ.,ИНН,КПП,ОГРН,Дата регистрации,Генеральный директор,Юридический адрес,Сайт,EMAIL,Телефоны,ОКВЭД_Код,ОКВЭД_Наименование,"тип МСП: 1-ЮЛ, 2-ИП",категория МСП,ПП
40,425932.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬНО-ИНВЕСТИЦИОННОЕ ПРЕДПРИЯТИЕ ""БИЛДИНГ""","ООО ""СИП ""БИЛДИНГ""","OOO ""SIP ""DUILDING""",7725082042,772501001,1027739824078,1997-02-20,Семенов Антон Юрьевич,"115280, г. Москва, ул. Ленинская Слобода, д. 9",woodwindows.ru,info@woodwindows.ru,+7 (495) 4285922;,16.23.1,Производство деревянных строительных конструкций и столярных изделий,1,2,нет
64,11652662.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТАЙМЛОГИСТИК""","ООО ""ТАЙМЛОГИСТИК""","OOO ""TAIMLOGISTIK""",7751078846,775101001,1177746994512,2017-09-22,РУНДА ЕЛЕНА АЛЕКСАНДРОВНА,"ГОРОД МОСКВА, ГОРОД ТРОИЦК, БУЛЬВАР ТРОИЦКИЙ, ДОМ 7, ПОМ V КОМНАТА 3",,,9256363464,16.23.1,Производство деревянных строительных конструкций и столярных изделий,1,1,нет
123,10469076.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ХАРВАСТПРОМ""","ООО ""ХАРВАСТПРОМ""","OOO ""KHARVASTPROM""",7707361597,770701001,1167746214514,2016-02-29,Подарикова Дина Сергеевна,"127055, г. Москва, туп. Тихвинский 1-Й, д. 5-7 пом. I ком. 8",harvast.ru,,+7 (499) 272 48 77; +7 (916) 300 66 76;,16.10,Распиловка и строгание древесины,1,2,нет
233,5035218.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕГРАЛ""","ООО ""ИНТЕГРАЛ""",INTEGRAL,7726525000,772601001,1057747618367,2005-07-28,Гулейков Дмитрий Владимирович,"117405, г. Москва, шоссе Варшавское, д. 125",,,+7 (495) 319 64 27; +7 (926) 971 36 63;,16.29,"роизводство прочих деревянных изделий; производство изделий из пробки, соломки и материалов для плетения",1,1,нет
522,10478502.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КЕДРСТРОЙКОМПЛЕКС""","ООО ""КЕДРСТРОЙКОМПЛЕКС""","OOO ""KEDRSTROIKOMPLEKS""",7714377333,771401001,1167746236019,2016-03-09,Зубов Дмитрий Вячеславович,"125252, г. Москва, ул. Авиаконструктора Микояна, д. 14 корп. 2 пом. I ком. 3",,,,16.23,Производство прочих деревянных строительных конструкций и столярных изделий,1,1,нет
726,5384746.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЕКОН""","ООО ""ДЕКОН""","OOO ""DEKON""",7743591839,774301001,1067746490624,2006-04-13,КУЗНЕЦОВ ВЯЧЕСЛАВ ВЛАДИСЛАВОВИЧ,"ГОРОД МОСКВА, УЛИЦА АДМИРАЛА МАКАРОВА, ДОМ 6, СТРОЕНИЕ 13, ЭТАЖ 1 ЧАСТЬ ПОМЕЩЕНИЕ 58",decon.ru,info@decon.ru,+7 (495) 2252222;,16.23.1,Производство деревянных строительных конструкций и столярных изделий,1,3,да
848,10050783.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАРКЕТМАСТЕР""","ООО ""ПАРКЕТМАСТЕР""","OOO ""PARKETMASTER""",7724330849,772401001,1157746773678,2015-08-21,БУРЦЕВ СЕРГЕЙ ЮРЬЕВИЧ,"ГОРОД МОСКВА, УЛИЦА БИРЮЛЁВСКАЯ, ДОМ 24, КОРПУС 1, ПОМЕЩЕНИЕ 3К3 ОФ 26",,,,16.23.1,Производство деревянных строительных конструкций и столярных изделий,1,1,нет
876,4880388.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРТЛЮКС""","ООО ""АРТЛЮКС""","OOO ""ARTLYUKS""",7710537674,771001001,1047796256452,2004-04-15,НОМОКОНОВА АНАСТАСИЯ ВЯЧЕСЛАВОВНА,"ГОРОД МОСКВА, УЛИЦА ГРУЗИНСКАЯ Б., 39, СТР.1",,,+7 (495) 383 25 23;,16.29.14,"Производство деревянных рам для картин, фотографий, зеркал или аналогичных предметов и прочих изделий из дерева",1,1,нет
955,6812009.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГЕЛЕОС""","ООО ""ГЕЛЕОС""","OOO ""GELEOS""",7714758699,771401001,5087746429469,2008-11-18,Ванчугова Наталья Николаевна,"123290, г. Москва, туп. Магистральный 1-Й, д. 11 стр.1",,,,16.10,Распиловка и строгание древесины,1,1,нет
970,8026528.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САНТЕХМЕТАЛЛОСЕРВИС-МОСКВА""","ООО ""САНТЕХМЕТАЛЛОСЕРВИС-МОСКВА""","OOO ""SANTEKHMETALLOSERVIS-MOSKVA""",7743826760,774301001,1117746646929,,Чанышев Артур Равильевич,"г. Москва, ул. Петрозаводская, д. 9 корп. 2 офис 8",santehmetservis.ru,,"4957721909, 4999912399",16.23.1,Производство деревянных строительных конструкций и столярных изделий,1,1,нет
1182,136061.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ХУДОЖЕСТВЕННО - ПРОИЗВОДСТВЕННАЯ ФИРМА ""БАГЕТ""","ООО ХПФ ""БАГЕТ""","OOO KHPF ""BAGET""",7726057232,772401001,1027700111450,1992-06-14,БЕГИДЖАНОВ ЗУРАБ АРТЕМОВИЧ,"117405, г. Москва, ул. Газопровод, д. 6Б",http://www.ooo-baget.ru/,info@ooo-baget.ru ,+7 (495) 7784500;,16.29.14,"Производство деревянных рам для картин, фотографий, зеркал или аналогичных предметов и прочих изделий из дерева",1,2,нет
1207,9167737.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТАРУС""","ООО ""ТАРУС""","OOO ""TARUS""",7751518180,775101001,1147746056094,2014-01-29,"Управляющая компания МОСКОВСКИЙ ЮРЦЕНТР ТНГС, ООО","142167, г. Москва, Роговское поселение, д. Васюнино, д. 1А",,,,16.10.1,"Производство пиломатериалов, кроме профилированных, толщиной более 6 мм; производство непропитанных железнодорожных и трамвайных шпал из древесины",1,1,нет
1224,11390160.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОПТИМА""","ООО ""ОПТИМА""","OOO ""OPTIMA""",7725359495,772501001,1177746206505,2017-03-02,ВЕРБИНА ТАИСИЯ ВЛАДИМИРОВНА,"ГОРОД МОСКВА, УЛИЦА ДУБИНИНСКАЯ, ДОМ 57, СТРОЕНИЕ 2, ПОМ/ОФИС III / 204.11",,,+7 (916) 834 70 92;,16.24,Производство деревянной тары,1,1,нет
1325,8413593.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕРЕНИТИ""","ООО ""СЕРЕНИТИ""","OOO ""SERENITI""",7725761090,772501001,1127746517557,2012-07-04,Самсонов Игорь Валентинович,"115114, г. Москва, набережная Даниловская, д. 8 стр.29А",,,,16.23.1,Производство деревянных строительных конструкций и столярных изделий,1,1,нет
1490,8049983.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""ДРУИД""","ООО ПО ""ДРУИД""","OOO PO ""DRUID""",7726682116,772601001,1117746694229,2011-09-01,Цымбал Никита Сергеевич,"117105, г. Москва, шоссе Варшавское, д. 33 стр.5",,,,16.10,Распиловка и строгание древесины,1,1,нет
