name,url,visits,views,logos,product_images,phones,emails,about
"ООО ""ДЕКОН""",http://www.decon.ru,,,['http://www.decon.ru/upload/logo155.png'],"['http://www.decon.ru/bitrix/tools/captcha.php?captcha_sid=0dd332ea50b7f4c6041f3d55817a6a6e'
 'http://www.decon.ru/upload/Jae-Hyo-Lee_01-small.jpg'
 'http://www.decon.ru/upload/Jae-Hyo-Lee_01.jpg'
 'http://www.decon.ru/upload/alum.jpg'
 'http://www.decon.ru/upload/aluminium/alum-prev-small.jpg'
 'http://www.decon.ru/upload/aluminium/alum-prev.jpg'
 'http://www.decon.ru/upload/iblock/02f/listveniza.jpg'
 'http://www.decon.ru/upload/iblock/482/dub.jpg'
 'http://www.decon.ru/upload/iblock/ffb/sosna.jpg'
 'http://www.decon.ru/upload/portal.jpg']","7 (495) 225-22-22,7 (495) 225-22-22",info@decon.ru,"«ДЕКОН»  компания полного цикла, осуществляющая проектирование, производство, монтаж, обслуживание и реставрацию деревянных и дерево-алюминиевых окон,
порталов, малых архитектурных форм и других конструкций. Для отправки формы необходимо зполнить обязательные поля"
"ООО ""ИНТЕГРАЛ""",http://www.integral-holding.ru,,,['http://www.integral-holding.ru/images/logo.jpg'],"['http://www.integral-holding.ru/images_goods/sm/nf.jpg'
 'http://www.integral-holding.ru/img/124x124xcart-item-3.jpg.pagespeed.ic.SxHNASdP7z.jpg']",,,"Корзина
 
 Краткое описание Шлагбаум электромеханический настенного крепления для стрелы до  метров, время подъема  , В, с блоком управления, встроенная лампа. ... 





 Краткое описание Комплект дуплексной связи «клиент-кассир» с вынесенным микрофоном «кассира», -х проводная линия,  -В ... 





 Краткое описание Огнетушитель порошковый закачной, предназначен для тушения пожаров классов А, В, С, масса заряда  кг Назначение и ... 





 Краткое описание Огнетушитель порошковый закачной, предназначен для тушения пожаров классов А, В, С, масса заряда  кг Назначение и ... 





 Краткое описание Огнетушитель порошковый закачной, предназначен для тушения пожаров классов А, В, С, масса заряда  кг ... 
 Краткое описание Навязанные,  м, с головкой ГР- и стволом РС-., Рраб., МПа, -...С Назначение изделия Напорные по ... 












 Краткое описание Размеры ДхШхВ- хх мм, вес - , кг Назначение изделия Аккумулятор предназначен для использования в ... 
 Краткое описание Размеры ДхШхВ- хх мм, вес - , кг Назначение изделия Аккумулятор предназначен для использования в ... 
 Краткое описание Огнетушитель углекислотный, вместимость  л, с раструбом Назначение изделия Огнетушители предназначены для туше ... 
 Краткое описание Огнетушитель углекислотный, вместимость , л Назначение изделия Предназначен для тушения возгораний различных ... 
 Краткое описание Огнетушитель порошковый закачной, предназначен для тушения пожаров классов А, В, С, масса заряда  кг Назначение и ... 
 Краткое описание Дымовой -х проводный, питание  -  В,  мкА Назначение изделия Извещатель пожарный «ИП -СУ» ... 
 Краткое описание  Мп,  КМОП, х   кс, .. лк, ., , .- мм АРД, сухие контакты вх вых , аудио вхвых,   дБ, ... 
 Краткое описание  Мп уличная скоростная поворотная  камера с ИК подсветкой  КМОП  х -  кс, х -  кс х ЗУМ .- мм ... 
Национальная электротехническая компания Морозова начала работу в  году. Создал компанию Вадим Морозов, хорошо известный на электротехническом рынке бизнесмен, работающий в отрасли более десяти лет.Специализация Компании Морозова  производство и ... Экономичность, эффективность, простота и безопасность. Вот главные критерии, на которые ориентируются современные производители и их потребитель. И продукция компании  вполне соответствует заявленным критериям. Сегодня компания успешно реализует ... Новую версию сайта отличает современный дизайн, расширенный контент и удобная система фасетной навигации. При выборе нужного товара мы рекомендуем пользоваться фасетами колонка слева - фильтры, это значительно ускорит время поиска нужного товара по ...  июня состоялось второе мероприятие в рамках «Дни инноваций Министерства обороны Российской Федерации». На этот раз Центральный военный округ принимал самые прогрессивные предприятия оборонно-промышленного комплекса России. апреля  года вышел приказ Росстандарта   Об утверждении перечня документов в области стандартизации, в результате применения которых на добровольной основе обеспечивается соблюдение требований Федерального закона от  июля  г.  ... Награды и сертификаты Компания Гира очень пристально следит за высоким качеством производимых изделий, а также далает большой акцент на продуманность дизайна своих электроустановочных изделий, сотрудничая как со своими дизайнерами компании, так и ... Новейший регистратор формата  -  уже в наличии Спрашивайте в офисах продаж ИНТЕГРАЛ.Распределительный щиток  один из основных элементов системы энергоснабжения любого помещения. Именно в него устанавливают защитную автоматику и электросчетчики. В нашем магазине представлены электрощиты различных производителей, в том числе навесные ... Серия   пользуется на рынке электроустановочного оборудования большой популярностью.Экономичная серия розеток и выключателей накладного монтажа  от  создана специально для России.ООО «ИНТЕГРАЛ» готова предложить огромный ассортимент различных типов электротоваров. Здесь вы найдете самые последние модели от отечественных так и от зарубежных всемирно известных производителей."
"ООО ""ГЕЛЕОС""",http://www.heleos.ru,,,['http://www.heleos.ru/local/templates/redesign/imgs/logo_geleos.ru.ai.png'],"['http://www.heleos.ru/local/templates/redesign/imgs/cart-icon.png'
 'http://www.heleos.ru/local/templates/redesign/imgs/download-icon-1.png'
 'http://www.heleos.ru/local/templates/redesign/imgs/phone.png'
 'http://www.heleos.ru/local/templates/redesign/imgs/search-icon.png'
 'http://www.heleos.ru/local/templates/redesign/imgs/up.arrow.btn.png'
 'https://market.zakupki.mos.ru/Files/API/PortalUser_09.png']","7 (495) 143-01-50,7 (495) 902-54-27,7(495) 902-54-27,7(495) 143-01-50,7 (495) 143-01-50,7 (495) 902-54-27,7 (495) 902-54-27,1544426043,1462398606,1462398606,1462398606,1462398606,1462398606,1462398607,1462398606,1462398607,1462398606,1475173660,1475173660,1371201149,1396656877,1475173660,1480852741,1475173660,1462398606,1462398606,1371201149,1396656877,1500923143,1521828514,88244186514,82200825811,81387008254,83893145203,81413589350,84069098114,81484874117,84335173249,81593408156,84623063433,81790335095,85088694918,81976785788,85800732632,82145708875,86505977795,82187988618,86735574887,82215772197,86904017613,82281002427,87344972775,82366717681,87885550244,82402351461,88117293103,82410504907,88165572865,82232361858,88271933103,82165922817,88307338262,82153842869,88241892362,82182834681,88225262666,81800162256,85858407421",info1@heleos.ru,"Друзья,
 на нашем сайте мы создали, и будем создавать дружественный интерфейс для удобства вашего пользования. Новый интуитивный фильтр, четкое техническое описание. 
 Что можно сделать с бумагой А и других форматов, оказавшейся у вас на столе 
 Выбросить нужен уничтожитель бумаг, придать прочность нужен ламинатор, объединить много листов нужен переплетчик, порезать на несколько частей нужен резак.Мы предлагаем решение в этой области для вас и ваших клиентов. а также инновационный фильтр для подбора данной продукции."
"ООО ""ИНТЕГРАЛ""",http://www.prointegral.ru,,,['http://prointegral.ru/wp-content/uploads/2017/03/logo-integral.png'],['http://prointegral.ru/wp-content/uploads/2017/03/591296406_6.jpg'],"1011121314,1718192021,2425262728",,"Компания «Интеграл» была основана в  году группой единомышленников.  нашей компании  производство качественной и экологичной продукции из полиуретана в любой сфере, любой сложности.За многие годы мы достигли высоких результатов в нашей работе. Квалифицированный персонал, креативное мышление, высшее техническое образование инженеров, конструкторов и ведущих специалистов обеспечивает высокую надёжность и качество нашей продукции. Мы выполняем проекты любой сложности  от серийного ассортимента до индивидуальных заказов.Компания «Интеграл» предлагает комплекс услуг по разработке деталей из полиуретана для промышленности и медицины, автомобилестроения и машиностроения, нефтегазодобывающего комплекса и станкостроения, космической отрасли и судостроении. В любой сфере, где есть необходимость в использовании продукции из полиуретана, мы можем быть вам полезны. Разработка деталей производится с учетом особенностей технических характеристик.Также наша Компания ведет активную исследовательскую работу в сфере применения полимерных материалов, имеет собственную полностью укомплектованную научно-исследовательскую базу и при выполнении заказов ориентируется на пожелания клиентов.Мы имеем собственное производство в Санкт-Петербурге, современное оборудование, свою научно-исследовательскую базу. нашей компании  разработка, внедрение и сопровождение информационных систем для государственного сектора и частного бизнеса. Мы творчески решаем самые нетривиальные задачи и точно знаем, как помочь любой организации работать на максимум своих возможностей за счет современных инновационных технологий.Компания «Интеграл» успешно работает на рынке услуг автоматизации, помогая компаниям любого уровня активно и успешно развиваться."
"ООО ""ТАРУС""",http://www.tarus-cable.ru,,,['http://www.tarus-cable.ru/images/logo.png'],"['http://www.tarus-cable.ru/images/phone-ico.png'
 'http://www.tarus-cable.ru/images/product-1.jpg'
 'http://www.tarus-cable.ru/images/product-2.jpg']","8 495 798 72 12,8 495 798 72 12","tarus-cable@mail.ru,tarus-cable@mail.ru","Проект «Тарускабель» создан во исполнение Комплексной Программы по импортозамещению, утвержденной Правительством Российской Федерации и при поддержке администрации города Таруса, Калужской области.
Основным видом деятельности компании является производство различных типов проводов и кабелей для использования в промышленности, строительстве, специальных целях и бытовом применении.Текст новостиТекст новостиООО «Тарускабель»
Тел.     
"
"ООО ХПФ ""БАГЕТ""",http://www.mirbageta.ru,,,['http://mirbageta.ru/image/data/logo.png'],"['http://mirbageta.ru/image/cache/data/галина/ (2)-130x130.JPG'
 'http://mirbageta.ru/image/cache/data/деревянный/ (6)-130x130.jpg'
 'http://mirbageta.ru/image/cache/data/деревянный/ автопром (2)-130x130.jpg'
 'http://mirbageta.ru/image/cache/data/деревянный/ баленира. Сюжет 2 (2)-130x130.jpg'
 'http://mirbageta.ru/image/cache/data/деревянный/ в пути! (2)-130x130.jpg'
 'http://mirbageta.ru/image/cache/data/деревянный/ гость (2)-130x130.jpg'
 'http://mirbageta.ru/image/cache/data/деревянный/ доставки (1)-130x130.jpg'
 'http://mirbageta.ru/image/cache/data/деревянный/ ирис (1)-130x130.jpg'
 'http://mirbageta.ru/image/cache/data/деревянный/ ирис (5)-130x130.jpg'
 'http://mirbageta.ru/image/cache/data/деревянный/ меня! (1)-130x130.jpg'
 'http://mirbageta.ru/image/cache/data/деревянный/ петух (3)-130x130.jpg'
 'http://mirbageta.ru/image/cache/data/деревянный/ пионов (2)-130x130.jpg'
 'http://mirbageta.ru/image/cache/data/деревянный/ письма (3)-130x130.jpg'
 'http://mirbageta.ru/image/cache/data/деревянный/ подарков (1)-130x130.jpg'
 'http://mirbageta.ru/image/cache/data/деревянный/ сада (3)-130x130.jpg'
 'http://mirbageta.ru/image/cache/data/деревянный/ сторожевая (2)-130x130.jpg']","8-980-686-28-14,8-980-686-28-11",26-00-19tdimeridian@yandex.ru,"
Багет пластиковый Китай артикул -
размер  

Багет пластиковый Китай артикул --
размер  

Багет пластиковый Китай артикул -
размер  

Багет пластиковый Китай артикул -
размер  

Багет пластиковый Китай артикул -М
размер  

Багет пластиковый Китай артикул -
размер  

Багет пластиковый Китай артикул -
размер  

Багет пластиковый Китай артикул -
размер  

Багет пластиковый Китай артикул 
размер  

Багет пластиковый Китай артикул -А 
размер 

Багет пластиковый Китай артикул -А-
размер  

Багет пластиковый Китай артикул --
размер  

Багет пластиковый Китай артикул --
размер  

Багет пластиковый Китай артикул -
размер  

Багет пластиковый Китай артикул -
размер  

Багет пластиковый Китай артикул --
размер  АКЦИЯ.

Багет пластиковый Китай артикул -А-
размер  

Багет пластиковый Китай артикул -
размер  

Багет пластиковый Китай артикул --
размер  

Багет пластиковый Китай артикул --
размер  


Багет пластиковый Китай артикул --
размер  


Багет пластиковый Китай артикул -А-
размер  

Багет пластиковый Китай артикул -А-
размер  


Багет пластиковый Китай артикул -А-
размер  


Багет пластиковый Китай артикул -А-
размер  

Багет пластиковый Китай артикул --
размер  


Багет пластиковый Китай артикул --
размер  


Багет пластиковый Китай артикул --
размер  


Багет пластиковый Китай артикул --
размер  


Багет пластиковый Китай артикул --
размер  

Багет пластиковый Китай артикул -
размер  

Багет пластиковый Китай артикул -
размер  

Багет пластиковый Китай артикул -А-
размер  

Багет пластиковый Китай артикул -А-Р
размер  

 Багет пластиковый Китай артикул - слип
размер  

Багет пластиковый Китай артикул - слип
размер  

Багет пластиковый Китай артикул -
размер  

Скобы    для скрепления углов рам
 в упаковке  пачек.

Скобы    для скрепления углов рам
 в упаковке  пачек.

Скобы    для скрепления углов рам
 в упаковке  пачек.

Скобы    для скрепления углов рам
 в упаковке  пачек.

  Мир багета, .  .Разработано  при участии "
"ООО ""ТАРУС""",http://www.tarus-msk.ru,,,[],[],"8 (495) 925-14-30,8 (495) 925-14-30,8 (495) 925-14-30,8 (495) 925-14-30,8 (495) 925-14-30",,"  до  Будни.Сб.-Вс. выходной по всей России и странам снг Система скидок для оптовиковГибкие Наш ассортимент  более  наименований товаров, которые удовлетворят запросы и любителя «покопаться на грядках», и профессионального озеленителя, и питомниковода.Компания Тарус занимается производством и продажей товаров для выращивания растений и уходу за ними. Мы реализуем садовую технику, садовый инструмент, агрохимию и другие товары для садоводов. Начиная с  года мы постоянно развиваемся и расширяем наш ассортимент товаров и повышаем качество наших услуг. Наш ассортимент  более  наименований товаров, которые удовлетворят запросы и любителя «покопаться на грядках», и профессионального озеленителя, и питомниковода.Для упаковки корневой системы деревьев и кустарников при их транспортировке и хранении перед посадкой рекомендуем купить сетки для комьев. Широкая линейка диаметров сеток для кома от  мм до  мм позволит упаковать посадочный материал практически любого размера.В категории Агроткани купить можно и мешковину оптом, и нетканый укрывной материал, и чехлы для растений, и сетку для затенения. Более  наименований товаров этой номенклатуры постоянно представлены на нашем складе. Даже самый привередливый садовод будет доволен возможностью такого выбора.Не менее широко представлен товар в категории Агрохимия для садоводов  в розницу и оптом удобрения около  наименований, широкий выбор гербицидов и инсектицидов, микробиологические препараты и регуляторы роста обеспечат прекрасный урожай любых декоративных, садовых и огородных культур.В других товарных категориях нашей компании представлены садовый инструмент и садовая техника, бамбуковые поддержки для растений, опрыскиватели и распылители. Кроме того, у нас можно приобрести контейнеры для растений, семена газонных трав, купить садовую тележку.В разделе Сопутствующие товары представлены материал для окулировки растений, средства индивидуальной защиты при работе с растениями, средства от грызунов и вредителей, а также прочий необходимый садовый инвентарь.Обращайтесь в нашу компанию Мы уверены, что уже после первой покупки вы оцените богатый ассортимент и высокое качество наших товаров, гибкую ценовую политику и возможность доставки купленного товара в адрес покупателя. А уровень обслуживания, компетентность и внимательность персонала «заставят» вас стать нашим постоянным клиентом.
                        
                
                        Москва, Серебрякова проезд, д. , ст. 
                
                        
                
                        
                  до  Будни.Сб.-Вс. выходнойМенеджер перезвоним вам с  до "
"ООО ""ОПТИМА""",http://www.optimapc.ru,,,['http://www.optimapc.ru/img/logo1_opt.jpg'],"['http://www.optimapc.ru/img/aastra.png'
 'http://www.optimapc.ru/img/abb.png'
 'http://www.optimapc.ru/img/apc-select-2.png'
 'http://www.optimapc.ru/img/axis.png'
 'http://www.optimapc.ru/img/d-link.png'
 'http://www.optimapc.ru/img/dell.png'
 'http://www.optimapc.ru/img/eaton.png'
 'http://www.optimapc.ru/img/hp.png'
 'http://www.optimapc.ru/img/iconHome.png'
 'http://www.optimapc.ru/img/iconSearch.png'
 'http://www.optimapc.ru/img/rittal.png'
 'http://www.optimapc.ru/img/schneider.png'
 'http://www.optimapc.ru/upload/FileUpload/pics/ACB_HiAH.jpg'
 'http://www.optimapc.ru/upload/FileUpload/pics/PDU.jpg'
 'http://www.optimapc.ru/upload/FileUpload/pics/SMART.jpg'
 'http://www.optimapc.ru/upload/FileUpload/pics/UPS_400V.jpg'
 'http://www.optimapc.ru/upload/FileUpload/pics/acsesuari.jpg'
 'http://www.optimapc.ru/upload/FileUpload/pics/shkafi.jpg']",7 (495) 991-2733,," обязательные  поля для заполнения
                    
                    Необходимо дать согласие на обработку данныхвыполняет подбор, поставку, монтаж, сервис и ремонт оборудования для систем автоматизации, диспетчеризации, бесперебойного энергообеспечения и телекоммуникаций.Основным направлением деятельности компании «Оптима» является поставка оборудования от ведущих производителей , , , , , ЦМО и др. для систем автоматизированного управления АСУ, диспетчеризации, бесперебойного электроснабжения и телекоммуникаций.Также ООО «Оптима» предлагает свои услуги, связанные с- подбором и комплексной поставкой электротехнического и телекоммуникационного оборудования на объекты заказчика- производством и монтажом электротехнических щитов и шкафов для систем диспетчеризации, автоматизации, распределения электропитания, кондиционирования и вентиляции щиты управления, распределения питания, АВР и пр.,- ремонтом, гарантийным ипослегарантийным обслуживанием электротехнического оборудования,- выполнением проектных, монтажных, пуско-наладочных и сервисных работ систем диспетчеризации, автоматизации, кондиционирования и распределения питания. ООО Оптима старается удовлетворить все требования заказчика, гарантируя профессиональный подход своих специалистов к любому вопросу, использование самого современного оборудования и технологий, а также комплексный подход к реализации проектов любого масштаба и уровня сложности. Доказательством активного развития компании является постоянное расширение производства и сотрудничество с новыми поставщиками оборудования, поиск новых направлений деятельности и применение передовых технологий.Производитель  Производитель  Производитель  Производитель     «»"
"ООО ""ИНТЕГРАЛ""",http://www.group-integral.ru,,,['http://www.group-integral.ru/custom/123/img/logo.png'],"['http://www.group-integral.ru/img/label_hot.png'
 'http://www.group-integral.ru/img/label_new.png'
 'http://www.group-integral.ru/img/label_special.png'
 'http://www.group-integral.ru/userfiles/shop/small/165_podvesnoy-svetodiodnyy-sve.jpg'
 'http://www.group-integral.ru/userfiles/shop/small/176_napolnyy-svetodiodnyy-sve.jpg'
 'http://www.group-integral.ru/userfiles/shop/small/225_vstraivaemyy-svetilnik-b4z1.jpg'
 'http://www.group-integral.ru/userfiles/shop/small/228_vstraivaemyy-svetilnik-b4z1.jpg'
 'http://www.group-integral.ru/userfiles/shop/small/236_vstraivaemyy-svetilnik-b4a0.jpg'
 'http://www.group-integral.ru/userfiles/shop/small/237_vstraivaemyy-svetilnik-b4x0.jpg'
 'http://www.group-integral.ru/userfiles/shop/small/261_nakladnoy-svetodiodnyy-sve.jpg'
 'http://www.group-integral.ru/userfiles/shop/small/266_cvetodiodnyy-svetilnik-b4b06.jpg'
 'http://www.group-integral.ru/userfiles/shop/small/269_nakladnoy-svetodiodnyy-sve.jpg'
 'http://www.group-integral.ru/userfiles/shop/small/272_nakladnoy-svetodiodnyy-sve.jpg'
 'http://www.group-integral.ru/userfiles/shop/small/276_svetodiodnyy-arkhitekturny.jpg'
 'http://www.group-integral.ru/userfiles/shop/small/32_office-041-m1200kh300.png'
 'http://www.group-integral.ru/userfiles/shop/small/35_office-041-m600kh600.png'
 'http://www.group-integral.ru/userfiles/shop/small/44_svetodiodnyy-ofisnyy-sveti.png'
 'http://www.group-integral.ru/userfiles/shop/small/48_svetodiodnyy-ofisnyy-sveti.png'
 'http://www.group-integral.ru/userfiles/shop/small/56_svetodiodnyy-magistralny.png'
 'http://www.group-integral.ru/userfiles/shop/small/76_svetodiodnyy-magistralny.jpg'
 'http://www.group-integral.ru/userfiles/shop/small/82_svetodiodnyy-magistralny.jpg'
 'http://www.group-integral.ru/userfiles/shop/small/96_svetodiodnyy-magistralny.jpg']",7 (495) 003 48 59,,  
"ООО ""ДИВАРТ ДЕКОР""",http://www.elfa-decor.ru,,,[],[],"7 (495) 120-19-34,7 (495) 120-19-34,1544426059",,У нас есть решения для любых систем храненияПреимущества систем хранения В наших салонах опытные консультанты помогут подобрать оптимальную  для вас систему хранения. 
